日期,租客,租金,支出,備註
2022-12-09,21世紀,"$120,000 ",,1樓押金(支票)
2023-03-20,兆基,"$19,000 ",,3月份
2023-03-30,兆基,"$27,581 ",,"出帳租金計算日期
(2/10-3/9)+(3/10-3/23)
19000+(19000/31X14)=27581元。"
2023-04-10,兆基,"$12,033 ",,"帳務重新切算日期起租日13日租金每月8日撥款4/8撥款
4/13-5/12租金因3/30有先撥款一部分租金4/24-5/12區間之費用，19000/30X19=12033元。"
2023-04-25,蝦皮,"$78,000 ",,1、2月租金
2023-04-25,蝦皮,"$78,000 ",,3、4月租金
2023-05-08,兆基,"$19,000 ",,
2023-05-25,蝦皮,"$19,500 ",,
2023-05-25,蝦皮,"$19,500 ",,
2023-06-08,兆基,"$19,000 ",,
2023-06-13,兆基,,"$9,900 ",民族2F冷氣修繕
2023-06-26,蝦皮,"$19,500 ",,
2023-06-26,蝦皮,"$19,500 ",,
2023-07-10,兆基,"$19,000 ",,
2023-07-17,21世紀,"$50,000 ",,2樓押金(支票)
2023-07-17,21世紀,"$40,000 ",,1樓8月份租金(支票)
2023-07-17,21世紀,"$16,667 ",,2樓8月份租金(支票)
2023-07-17,21世紀,"$60,000 ",,1樓9月份租金(支票)
2023-07-17,21世紀,"$25,000 ",,2樓9月份租金(支票)
2023-07-25,蝦皮,"$19,500 ",,
2023-07-25,蝦皮,"$19,500 ",,
2023-08-08,兆基,"$19,000 ",,
2023-08-10,,,"$53,000 ",轉帳給阿良
2023-08-10,,,"$53,000 ",轉帳給阿祺
2023-08-25,蝦皮,"$19,500 ",,
2023-08-25,蝦皮,"$19,500 ",,
2023-08-27,,,"$8,491 ",民權路費用
2023-09-01,,,"$30,000 ",生活費-章吉良
2023-09-01,,,"$30,000 ",生活費-章士祺
2023-09-07,,,"$41,500 ",申請電錶(轉給媽媽的支存帳戶)
2023-09-08,兆基,"$19,000 ",,
2023-09-20,,,"$23,000 ",防水漆材料-章士祺
2023-09-25,蝦皮,"$19,500 ",,
2023-09-25,蝦皮,"$19,500 ",,
2023-09-25,,,"$1,128 ",油漆材料-章士祺
2023-10-07,,,"$4,700 ",加壓馬達1/2hp-民權路-章吉良
2023-10-07,,,"$1,300 ",水泥沙-民權路斜坡道-章吉良
2023-10-11,兆基,"$19,000 ",,
2023-10-17,21世紀,,,"收到支票1+2樓
112/11月-113/10月租金
6萬x12，2萬5x12"
2023-10-25,蝦皮,"$19,500 ",,
2023-10-25,蝦皮,"$19,500 ",,
2023-10-28,,,"$4,657 ","$900(瓦斯填充20kg*2)
$3757(電費_112年10月_民權路1至4F)
章吉良"
2023-11-01,21世紀,"$60,000 ",,
2023-11-01,21世紀,"$25,000 ",,
2023-11-01,,,"$30,000 ",生活費-章士祺
2023-11-01,,,"$30,000 ",生活費-章吉良
2023-11-08,兆基,"$19,000 ",,
2023-11-14,,,$500 ,樹脂軟水濾心3支-章吉良
2023-11-20,,,"$46,958 ",112年地價稅
2023-11-27,蝦皮,"$19,500 ",,
2023-11-27,蝦皮,"$19,500 ",,
2023-11-30,21世紀,"$60,000 ",,
2023-11-30,21世紀,"$25,000 ",,
2023-12-01,兆基,"$9,900 ",,住都中心補助款(冷氣修繕)
2023-12-04,,,"$30,000 ",生活費-章士祺
2023-12-04,,,"$30,000 ",生活費-章吉良
2023-12-08,兆基(寄居蟹),"$19,000 ",,
2023-12-25,蝦皮,"$19,500 ",,
2023-12-25,蝦皮,"$19,500 ",,
2023-12-25,,,"$5,161 ","電費$3491
煤油$1670-章吉良"
去年結餘,$0 ,,,
總收入,"$1,170,181 ",,,
總支出,"$433,295 ",,,
結餘,"$736,886 ",,,
